city,lat,lng,country,date,maxtemp,humidity,cloudiness,windspeed
polunochnoye,60.87,60.43,RU,1544330360,9.52,70,0,2.8
horsham,-36.71,142.2,AU,1544330360,67.39,92,92,7.09
ust-omchug,61.13,149.63,RU,1544330360,-26.58,0,24,3.58
marsa matruh,31.35,27.25,EG,1544324400,57.2,76,40,10.29
plerin,48.54,-2.78,FR,1544328000,51.8,71,90,20.8
sandnessjoen,66.02,12.63,NO,1544329200,33.8,64,88,16.11
magadan,59.56,150.8,RU,1544330361,12.04,100,0,21.59
sao fidelis,-21.65,-41.75,BR,1544330361,54.16,92,8,2.13
coquimbo,-29.95,-71.34,CL,1544328000,60.8,82,0,5.82
salinopolis,-0.61,-47.36,BR,1544330362,80.08,100,92,7.43
santa isabel do rio negro,-0.41,-65.02,BR,1544330362,75.71,96,44,2.73
seoul,37.57,126.98,KR,1544329800,26.6,23,1,3.36
saint-denis,48.94,2.36,FR,1544328000,48.2,70,40,19.46
zhezkazgan,47.8,67.71,KZ,1544329800,6.8,77,80,13.42
tupik,54.43,119.94,RU,1544330995,-19.06,77,0,2.57
port hueneme,34.15,-119.2,US,1544327820,55.04,80,20,5.82
pittsfield,39.61,-90.81,US,1544330100,21.2,83,1,4.7
smirnykh,49.74,142.83,RU,1544330996,6.91,53,36,11.3
peniche,39.36,-9.38,PT,1544328000,48.2,100,40,2.24
charters towers,-20.07,146.27,AU,1544330452,72.07,97,92,16.89
belyy yar,53.6,91.39,RU,1544329800,-2.21,70,32,2.06
uporovo,56.31,66.27,RU,1544330997,-1.65,59,0,7.05
amurzet,47.69,131.09,CN,1544330998,4.34,62,36,9.4
huarmey,-10.07,-78.15,PE,1544330998,57.53,92,12,2.51
ust-kuyga,70.0,135.55,RU,1544330976,-45.16,0,20,2.84
alta,69.97,23.27,NO,1544329200,8.6,84,12,11.41
ellisras,-23.67,27.74,ZA,1544330998,73.01,77,68,4.81
owando,-0.49,15.91,CG,1544330999,69.28,99,92,3.29
biskamzha,53.45,89.53,RU,1544330999,-0.75,72,20,2.91
chapleau,47.85,-83.4,CA,1544330999,27.79,76,44,13.87
mezen,65.85,44.24,RU,1544330999,21.4,70,56,9.55
mana,43.52,20.24,RS,1544329800,30.2,92,0,1.12
aksu,52.04,76.93,KZ,1544329800,3.2,71,0,13.42
matay,28.42,30.79,EG,1544331000,44.26,81,36,2.73
vostok,46.45,135.83,RU,1544330890,-5.25,53,36,5.75
kabalo,-6.05,26.92,CD,1544331001,70.31,100,92,4.41
komsomolskiy,67.55,63.78,RU,1544331656,14.51,83,80,13.2
mareeba,-16.99,145.42,AU,1544329800,77.0,88,90,16.11
zaykovo,57.56,62.76,RU,1544331701,12.22,68,56,3.13
